id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5456,Guesthouse in Austin · ★4.84 · 1 bedroom · 2 beds · 1 bath,8028,Sylvia,,78702,30.26057,-97.73441,Entire home/apt,101,2,668,2023-11-20,3.71,1,330,47,
5769,Home in Austin · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,8186,Elizabeth,,78729,30.45697,-97.78422,Private room,,1,294,2023-12-07,1.76,1,0,20,
218402,Home in Austin · ★4.74 · 1 bedroom · 1 bed · 1 private bath,1129520,Paulette,,78754,30.36145,-97.64397,Private room,30,28,29,2023-09-24,0.20,1,252,2,
6413,Guesthouse in Austin · ★4.97 · Studio · 1 bed · 1 bath,13879,Todd,,78704,30.24885,-97.73587,Entire home/apt,,30,120,2022-10-17,0.70,1,0,0,
6448,Guesthouse in Austin · ★4.97 · 1 bedroom · 2 beds · 1 bath,14156,Amy,,78704,30.26034,-97.76487,Entire home/apt,159,3,312,2023-12-04,2.09,1,160,21,
219168,Rental unit in Austin · ★4.88 · Studio · 1 bed · 1 bath,1134580,Kalu,,78704,30.24519,-97.74486,Entire home/apt,,2,8,2016-10-09,0.06,1,0,0,
8502,Guest suite in Austin · ★4.56 · 1 bedroom · 1 bed · 1 bath,25298,Karen,,78741,30.23466,-97.73682,Entire home/apt,48,4,51,2023-05-16,0.30,1,75,3,
222986,Home in Austin · ★4.96 · 3 bedrooms · 3 beds · 2 baths,1157982,Lyon,,78702,30.25753,-97.7313,Entire home/apt,500,20,53,2017-10-01,0.36,5,255,0,
13035,Home in Austin · ★5.0 · 2 bedrooms · 2 beds · 2 baths,50793,Molly,,78702,30.26098,-97.73072,Entire home/apt,123,30,18,2023-06-19,0.12,2,201,1,
224603,Guesthouse in Austin · ★4.94 · Studio · 1 bed · 1 bath,1169129,David And Kristy,,78751,30.30732,-97.72782,Entire home/apt,110,60,116,2023-12-10,0.78,4,183,2,
18258,Bungalow in Austin · ★5.0 · 3 bedrooms · 2 beds · 2 baths,39458,Billy,,78745,30.19756,-97.78754,Entire home/apt,100,3,20,2023-11-22,1.44,1,0,18,
227372,Home in Austin · ★4.90 · 3 bedrooms · 5 beds · 2.5 baths,51183342,Hunter,,78704,30.247942,-97.749763,Entire home/apt,302,1,276,2023-12-10,1.93,8,0,33,
22828,Guesthouse in Austin · ★4.94 · 1 bedroom · 1 bed · 1 bath,56488,David,,78741,30.23614,-97.73225,Entire home/apt,58,30,51,2023-08-15,0.30,1,281,1,
233930,Home in Austin · ★4.93 · 2 bedrooms · 2 beds · 1 bath,578211,Pete,,78751,30.30289,-97.72961,Entire home/apt,114,20,106,2023-11-24,0.73,10,282,8,
22982,Guesthouse in Austin · ★4.91 · 2 bedrooms · 2 beds · 1 bath,89031,Gina,,78703,30.28074,-97.75381,Entire home/apt,250,30,168,2023-10-23,1.00,1,269,3,
238657,Home in Austin · ★4.96 · 2 bedrooms · 2 beds · 1 bath,1250939,Kerry,,78704,30.252,-97.75628,Entire home/apt,135,1,215,2023-12-04,2.09,4,232,35,
40285,Home in Austin · ★4.92 · 2 bedrooms · 2 beds · 2 baths,170787,Robbie,,78731,30.35123,-97.76207,Entire home/apt,450,2,40,2023-10-23,0.26,1,245,3,
240541,Guesthouse in Austin · ★4.61 · 1 bedroom · 1 bed · 1 bath,1246229,Elizabeth,,78702,30.25424,-97.72587,Entire home/apt,41,1,807,2023-12-06,5.61,3,29,108,
